,Name,Price,Rating,city,Kilometers,Year_of_Purchase,Owner,Fuel_Type,Transmission,RTO,Insurance,Insurance_Type,Month_of_Purchase
5355, Ford Ecosport .TITANIUM TDCI,523870,4.4,chennai,86337,2013,First ,Diesel,MANUAL,RTOTN06,31/7/2021,Comprehensive,July
5356, Maruti Swift Dzire VDI BS IV,418499,4.2,chennai,107099,2012,Second ,Diesel,MANUAL,RTOTN02,19/3/2021,Comprehensive,October
5357, Mercedes Benz GLA Class  CDI SPORT,1654999,4.6,chennai,79207,2016,First ,Diesel,MANUAL,RTOTN09,12/9/2021,Expired,January
5358, Maruti Swift VDI,456720,4.4,chennai,77239,2012,First ,Diesel,MANUAL,RTOTN09,7/3/2021,Comprehensive,February
5359, Honda Jazz . VX I-VTECH,489370,4.3,chennai,113201,2015,First ,Petrol,,RTOTN22,,Expired,November
5360, Maruti Baleno ALPHA DDIS  ,694699,4.4,chennai,78579,2017,First ,Diesel,MANUAL,RTOTN11,4/3/2021,Comprehensive,February
5361, Maruti Vitara Brezza VDI,668499,4.4,chennai,83813,2016,First ,Diesel,MANUAL,RTOTN14,1/5/2021,ZeroDepreciation,March
5362, Maruti Swift VDI,426799,4.1,chennai,99401,2013,First ,Diesel,MANUAL,RTOTN18,2/6/2021,Comprehensive,April
5363, Maruti Celerio VXI AMT,307699,4.1,chennai,136962,2014,Second ,Petrol,AUTOMATIC,RTOTN11,17/7/2021,Comprehensive,October
5364, Honda Brio . S MT I VTEC,257199,3.9,chennai,118056,2012,Second ,Petrol,MANUAL,RTOTN07,20/6/2021,Comprehensive,July
5365, Maruti Alto K VXI ,246499,4.1,chennai,95412,2015,First ,Petrol,MANUAL,RTOTN02,20/7/2021,Comprehensive,May
5366, Maruti Vitara Brezza ZDI PLUS DUAL TONE,672342,4.3,chennai,152025,2016,First ,Diesel,MANUAL,RTOTN06,,Expired,July
5367, Ford Ecosport . TITANIUMTDCI OPT,440099,4.1,chennai,151247,2014,First ,Diesel,MANUAL,RTOTN06,14/7/2021,Comprehensive,June
5368, Mahindra XUV W X,627399,3.7,chennai,181811,2014,First ,Diesel,MANUAL,RTOTN02,24/5/2021,Comprehensive,February
5369, Maruti Eeco  STR WITH AC PLUSHTR,340000,4.3,chennai,9118,2014,First ,Petrol,MANUAL,RTOTN06,17/3/2021,Comprehensive,January
5370, Maruti Alto LXI,193000,3.9,chennai,27407,2010,First ,Petrol,MANUAL,RTOTN18,23/5/2021,Comprehensive,May
5371, Maruti Esteem LXI,78439,3.3,chennai,33001,2007,First ,Petrol,MANUAL,RTOTN04,,Expired,December
5372, Datsun Go Plus T,350000,4.3,chennai,19741,2016,First ,Petrol,MANUAL,RTOTN07,,Expired,November
5373, Hyundai Santro Xing XP,110000,3.7,chennai,42149,2004,Second ,Petrol,MANUAL,RTOTN07,19/2/2021,Comprehensive,February
5374, Maruti Swift VXI .,180000,3.3,chennai,35005,2007,First ,Petrol,MANUAL,RTOTN07,,Expired,January
5375, Hyundai Santro Xing GLS,135000,3.6,chennai,62879,2007,First ,Petrol,MANUAL,RTOTN22,18/12/2021,Comprehensive,November
5376, Ford Figo . ZXI DURATEC ,200000,3.9,chennai,29681,2010,First ,Petrol,MANUAL,RTOTN10,19/5/2021,Comprehensive,April
5377, Maruti Alto K VXI ,235000,4.1,chennai,20616,2012,First ,Petrol,MANUAL,RTOTN22,10/11/2021,Third_party,July
5378, Force Motors TRAVELLER Non ABS,300000,3.5,chennai,2347,2011,First ,Diesel,,RTOTN20,3/10/2021,Third_party,August
5379, Maruti Alto LXI,120000,3.7,chennai,41874,2005,Second ,Petrol,MANUAL,RTOTN22,6/8/2021,Third_party,May
5380, Maruti Alto LXI,202000,3.9,chennai,20109,2012,First ,Petrol,MANUAL,RTOTN04,23/10/2021,Comprehensive,June
5381, Datsun Go Plus T OPTIONAL,310000,4.3,chennai,19539,2016,First ,Petrol,MANUAL,RTOTN11,,Expired,April
5382, Maruti Swift VXI .,125000,3.3,chennai,88050,2006,First ,Petrol,MANUAL,RTOHR51,,Expired,August
5383, Tata Indica EV LS,137000,4.2,chennai,31976,2015,Second ,Diesel,MANUAL,RTOTN21,29/8/2021,Comprehensive,August
5384, Maruti OMNI E  STR,350000,4.8,chennai,1185,2017,First ,Petrol,,RTOTN05,,Expired,November
5385, Maruti SX VXI,150000,3.4,chennai,38343,2008,First ,Petrol,MANUAL,RTOTN01,28/9/2021,Third_party,January
5386, Hyundai Eon ERA PLUS,230000,4.4,chennai,27562,2013,First ,Petrol,MANUAL,RTOTN09,30/10/2021,Comprehensive,August
5387, Hyundai i ASTA . KAPPA,268000,4.3,chennai,32666,2012,First ,Petrol,MANUAL,RTOTN09,29/3/2021,Third_party,March
5388, Maruti Swift VXI,492991,4.6,chennai,8588,2016,First ,Petrol,MANUAL,RTOTN68,4/6/2021,ZeroDepreciation,April
5389, Maruti Alto  LXI,220000,4.3,chennai,31717,2013,First ,Petrol,MANUAL,RTOTN09,27/5/2021,Comprehensive,March
5390, Hyundai NEW SANTRO . SPORTS AMT,530000,4.9,chennai,1480,2019,First ,Petrol,,RTOTN22,,Expired,May
5391, Maruti Swift LXI .,175000,3.6,chennai,57358,2007,Third ,Petrol,MANUAL,RTOTN01,31/12/2020,Expired,January
5392, Hyundai i MAGNA .,250000,3.9,chennai,22008,2010,First ,Petrol,MANUAL,RTOTN09,10/4/2021,Comprehensive,March
5393, Honda City ZX . VTEC ,170000,3.7,chennai,98181,2006,Third ,Petrol,MANUAL,RTOTN07,,Expired,January
5394, Maruti New  Wagon-R VXI . ,550000,4.9,chennai,6832,2019,First ,Petrol,,RTOTN85,8/6/2022,Third_party,June
5395, Maruti Celerio ZXI ,375000,4.6,chennai,29579,2015,First ,Petrol,MANUAL,RTOTN09,1/3/2021,Comprehensive,February
5396, Honda Amaze . EMT I VTEC,650000,4.7,chennai,1684,2020,First ,Petrol,MANUAL,RTOTN07,22/11/2021,ZeroDepreciation,November
5397, Hyundai i MAGNA,210000,4.1,chennai,50264,2008,Second ,Petrol,MANUAL,RTOTN01,26/11/2021,Comprehensive,February
5398, Maruti Eeco  STR WITH AC PLUSHTR,460000,4.7,chennai,3738,2019,First ,Petrol,MANUAL,RTOTN14,12/8/2022,Comprehensive,June
5399, Hyundai Grand i ASTA . KAPPA VTVT,420000,4.4,chennai,40469,2015,First ,Petrol,MANUAL,RTOTN11,,Expired,November
5400, Tata Nano XT TWIST,135000,4.3,chennai,13795,2014,First ,Petrol,MANUAL,RTOTN06,10/8/2021,Comprehensive,March
5401, Maruti Alto  LXI,280000,4.5,chennai,6753,2017,Second ,Petrol,MANUAL,RTOTN09,18/12/2021,ZeroDepreciation,October
5402, Tata Nano LX,70000,4.2,chennai,47878,2012,First ,Petrol,MANUAL,RTOTN10,8/7/2021,Comprehensive,May
5403, Datsun Redi Go T (O),250000,4.4,chennai,31908,2016,First ,Petrol,MANUAL,RTOTN02,21/11/2021,Comprehensive,July
5404, Hyundai i MAGNA . VTVT,245000,3.8,chennai,40223,2012,Third ,Petrol,MANUAL,RTOTN05,18/1/2022,Comprehensive,June
5405, Maruti Wagon R . LXI,250000,4.2,chennai,45372,2010,First ,Petrol,MANUAL,RTOTN10,3/6/2021,Comprehensive,May
5406, Fiat Linea EMOTION .,160000,3.8,chennai,56800,2009,Second ,Petrol,MANUAL,RTOTN02,,Expired,May
5407, Hyundai GRAND I NIOS SPORTZ PETROL ,700000,4.9,chennai,2067,2020,First ,Petrol,,RTOTN11,14/12/2021,ZeroDepreciation,December
5408, Datsun Redi Go S,250000,4.8,chennai,23065,2016,First ,Petrol,MANUAL,RTOTN73,2/11/2020,Comprehensive,September
5409, Volkswagen Polo HIGHLINE.L PETROL,518000,4.7,chennai,13330,2016,First ,Petrol,MANUAL,RTOTN10,29/3/2021,ZeroDepreciation,February
5410, Maruti IGNIS ALPHA . K DUAL TONE,440000,4.3,chennai,25872,2017,First ,Petrol,,RTOTN14,29/3/2021,ZeroDepreciation,January
5411, Hyundai Santro Xing GL PLUS,255000,4.4,chennai,35812,2013,First ,Petrol,MANUAL,RTOTN02,11/11/2021,Third_party,October
5412, Maruti Alto LXI,190000,3.7,chennai,22676,2009,First ,Petrol,MANUAL,RTOTN06,15/9/2021,Comprehensive,June
5413, Renault Kwid . RXT,300000,3.9,chennai,26246,2016,Second ,Petrol,MANUAL,RTOTN07,11/1/2022,Comprehensive,October
5414, Hyundai Eon ERA PLUS,204000,4.1,chennai,33509,2012,Second ,Petrol,MANUAL,RTOTN10,9/12/2021,Comprehensive,October
5415, Hyundai i SPORTZ . KAPPA,285000,4.3,chennai,49545,2013,First ,Petrol,MANUAL,RTOTN09,30/6/2021,Comprehensive,June
5416, Hyundai Xcent E PLUS,450000,4.7,chennai,11150,2017,First ,Petrol,MANUAL,RTOKL04,3/10/2021,Comprehensive,July
5417, Maruti Baleno DELTA . K ,500000,4.7,chennai,26728,2016,First ,Petrol,MANUAL,RTOTN14,6/3/2021,ZeroDepreciation,February
5418, Hyundai i ERA,201000,4,chennai,37617,2008,First ,Petrol,MANUAL,RTOTN10,21/3/2021,Comprehensive,August
5419, Maruti Alto  LXI UTSAV LIMITED ADDITION,290000,4.5,chennai,11639,2017,First ,Petrol,,RTOTN09,,Expired,September
5420, Maruti Wagon R . VXI AMT,420000,4.6,chennai,5319,2016,First ,Petrol,AUTOMATIC,RTOTN09,17/2/2021,ZeroDepreciation,January
5421, Maruti Alto K VXI ,161310,3.4,chennai,73085,2011,Third ,Petrol,MANUAL,RTOTN05,20/3/2021,Comprehensive,February
5422, Renault Kwid CLIMBER . AT,450000,4.9,chennai,5788,2019,First ,Petrol,,RTOTN02,,Expired,July
5423, Maruti Alto  LXI,230000,3.7,chennai,26226,2013,First ,Petrol,MANUAL,RTOTN09,,Expired,December
5424, Hyundai Grand i SPORTZ O .,500000,4.7,chennai,20283,2017,First ,Petrol,MANUAL,RTOTN18,24/4/2021,ZeroDepreciation,April
5425, Maruti Swift VDI ABS,475000,4.3,chennai,37911,2014,First ,Diesel,MANUAL,RTOAP03,11/12/2021,Comprehensive,October
5426, Renault Kwid . RXT Opt,350000,4.6,chennai,13484,2016,First ,Petrol,MANUAL,RTOTN06,,Expired,September
5427, Hyundai i MAGNA . KAPPA,282500,4,chennai,7631,2010,First ,Petrol,MANUAL,RTOTN03,,Expired,November
5428, Maruti Alto VXI,345000,4.9,chennai,9582,2019,First ,Petrol,MANUAL,RTOTN13,11/12/2021,ZeroDepreciation,November
5429, Ford New Figo . TITANIUM AT PETROL,450000,4.5,chennai,24033,2016,First ,Petrol,,RTOTN04,27/3/2021,Comprehensive,March
5430, Tata Nano CX,52000,3.6,chennai,41550,2012,First ,Petrol,MANUAL,RTOTN10,25/9/2021,Comprehensive,June
5431, Hyundai i MAGNA .,280000,4.3,chennai,9417,2010,First ,Petrol,MANUAL,RTOTN05,4/12/2021,Comprehensive,October
5432, Ford Ecosport .AMBIENTE TI VCT,530000,4.4,chennai,31261,2015,First ,Petrol,MANUAL,RTOTN07,5/9/2021,Comprehensive,October
5433, Maruti Alto LXI,225000,3.5,chennai,36313,2010,First ,Petrol,MANUAL,RTOTN22,20/11/2021,Comprehensive,October
5434, Maruti OMNI E  STR,250000,4.4,chennai,19114,2012,First ,Petrol,,RTOTN05,27/10/2021,Comprehensive,August
5435, Maruti Swift VXI,450000,4.3,chennai,31290,2014,First ,Petrol,MANUAL,RTOTN01,31/7/2021,Comprehensive,July
5436, Chevrolet Captiva LTZ AWD AT,425000,3.6,chennai,35598,2011,Second ,Diesel,AUTOMATIC,RTOTN25,17/8/2021,Third_party,March
5437, Honda Amaze . SMT I VTEC,425000,3.8,chennai,31022,2015,Second ,Petrol,MANUAL,RTOTN03,,Expired,July
5438, Maruti Alto  VXI,260000,4.5,chennai,25608,2016,First ,Petrol,MANUAL,RTOTN12,4/8/2021,Comprehensive,May
5439, Chevrolet Tavera NEO LS STR,350000,3.3,chennai,1,2010,First ,Diesel,,RTOTN18,,Expired,May
5440, Hyundai Santro Xing GL LPG,250000,4.1,chennai,40385,2009,First ,Petrol + LPG,MANUAL,RTOTN22,9/9/2021,Comprehensive,January
5441, Hyundai Santro Xing XL ERLX EURO III,126540,3.6,chennai,38772,2006,Third ,Petrol,MANUAL,RTOTN01,13/6/2021,Comprehensive,April
5442, Hyundai i SPORTZ . KAPPA,304000,4.6,chennai,29296,2012,First ,Petrol,MANUAL,RTOTN21,27/12/2021,Comprehensive,July
5443, Maruti Alto VX,70395,3.8,chennai,62975,2000,Fourth ,Petrol,MANUAL,RTOTN01,7/12/2020,Third_party,January
5444, Mahindra Kuv K  STR,375000,4.4,chennai,14129,2016,First ,Petrol,MANUAL,RTOTN01,28/12/2021,Third_party,August
5445, Maruti Alto K VXI (O) AMT,340000,4.4,chennai,21100,2018,Second ,Petrol,,RTOTN07,13/3/2021,ZeroDepreciation,February
5446, Maruti Alto K VXI ,210000,4.1,chennai,22618,2012,First ,Petrol,MANUAL,RTOTN07,16/5/2021,Comprehensive,March
5447, Honda City ZX GXI,240000,3.8,chennai,56894,2008,Second ,Petrol,MANUAL,RTOTN09,,Expired,June
5448, Maruti Ertiga ZXI,540909,3.8,chennai,38828,2012,First ,Petrol,MANUAL,RTOTN07,7/5/2021,Comprehensive,April
5449, Hindustan Motors Ambassador CLASSIC  DSL,51500,2.8,chennai,23930,2001,First ,Diesel,MANUAL,RTOTN31,11/11/2020,Third_party,January
5450, Toyota Etios Liva V,350000,4.3,chennai,50236,2012,Second ,Petrol,MANUAL,RTOTN01,24/6/2021,Comprehensive,January
5451, Volkswagen Polo HIGHLINE.L PETROL,325000,4.3,chennai,56817,2011,First ,Petrol,MANUAL,RTOTN02,23/1/2022,Third_party,January
5452, Tata Sumo SE,95000,3.1,chennai,47448,2002,Third ,Diesel,MANUAL,RTOTN09,18/12/2020,Third_party,November
5453, Maruti Wagon R . VXI,405000,4.6,chennai,17608,2016,First ,Petrol,MANUAL,RTOTN10,31/5/2021,Comprehensive,May
5454, Maruti Swift VXI,350000,3.9,chennai,40058,2012,Third ,Petrol,MANUAL,RTOTN10,7/10/2021,Comprehensive,August
5455, Maruti Wagon R VXI,225000,4,chennai,40523,2010,Second ,Petrol,MANUAL,RTOTN10,,Expired,January
5456, Hyundai i SPORTZ . AT KAPPA,300000,4.1,chennai,45134,2013,Second ,Petrol,AUTOMATIC,RTOTN09,12/2/2021,Comprehensive,June
5457, Hyundai i SPORTZ . VTVT,400000,4.3,chennai,35166,2013,Third ,Petrol,MANUAL,RTOTN01,2/11/2021,Comprehensive,July
5458, Maruti Eeco  STR WITH AC PLUSHTR,450000,4.7,chennai,3423,2019,First ,Petrol,MANUAL,RTOTN11,14/8/2022,ZeroDepreciation,July
5459, Hyundai Eon ERA PLUS,225000,4,chennai,61684,2012,First ,Petrol,MANUAL,RTOTN02,25/11/2021,Comprehensive,April
5460, Hyundai Grand i ASTA . (O) VTVT,455000,4.4,chennai,25158,2017,First ,Petrol,MANUAL,RTOTN04,31/8/2020,ZeroDepreciation,February
5461, Maruti Swift VXI .,225000,3.6,chennai,62708,2007,Third ,Petrol,MANUAL,RTOTN49,12/10/2021,Comprehensive,December
5462, Maruti Wagon R VXI MINOR,183540,3.6,chennai,41570,2009,Second ,Petrol,MANUAL,RTOTN22,3/10/2021,Comprehensive,September
5463, Renault Kwid . RXT Opt,300000,4.4,chennai,22717,2016,Second ,Petrol,MANUAL,RTOTN05,10/3/2021,Comprehensive,November
5464, Maruti Ritz VDI ,350000,4.3,chennai,34698,2012,First ,Diesel,MANUAL,RTOTN02,18/11/2021,Comprehensive,May
5465, Hyundai Grand i ASTA . KAPPA VTVT,570000,4.9,chennai,6049,2018,First ,Petrol,MANUAL,RTOTN22,9/1/2022,ZeroDepreciation,October
5466, Datsun Go Plus T,400000,4.6,chennai,22706,2016,First ,Petrol,MANUAL,RTOTN47,27/7/2021,ZeroDepreciation,July
5467, Renault Kwid RXT . EASY-R AT OPTION,292588,4.5,chennai,20223,2017,First ,Petrol,AUTOMATIC,RTOHR26,29/10/2021,Comprehensive,July
5468, Chevrolet Sail . LS ABS,290000,3.9,chennai,27964,2013,First ,Diesel,MANUAL,RTOTN20,,Expired,April
5469, Maruti Alto  LXI,310000,4.7,chennai,21898,2017,First ,Petrol,MANUAL,RTOTN22,7/8/2021,Comprehensive,May
5470, Volkswagen Polo COMFORTLINE .L DIESEL,325000,3.9,chennai,60636,2011,Second ,Diesel,MANUAL,RTOTN07,29/3/2021,Comprehensive,January
5471, Tata TIGOR Revotron XT,420000,4.7,chennai,16209,2018,First ,Petrol,MANUAL,RTOUP16,17/3/2021,Third_party,January
5472, Ford Ecosport .TITANIUM TDCI,675000,4.5,chennai,29873,2016,Second ,Diesel,MANUAL,RTOTN14,28/3/2021,Comprehensive,August
5473, Hyundai i MAGNA .,220000,3.9,chennai,48118,2008,Second ,Petrol,MANUAL,RTOTN07,26/8/2021,Comprehensive,July
5474, Maruti Dzire VDI,617310,4.9,chennai,15365,2017,First ,Diesel,MANUAL,RTOTN10,19/11/2020,ZeroDepreciation,October
5475, Hyundai Xcent SX AT . OPT,450000,3.9,chennai,39405,2015,First ,Petrol,AUTOMATIC,RTOTN12,,Expired,July
5476, Maruti Swift VXI,610000,4.8,chennai,8729,2018,First ,Petrol,MANUAL,RTOTN05,2/2/2022,Third_party,July
5477, Maruti Swift VXI,400000,4.3,chennai,23729,2013,First ,Petrol,MANUAL,RTOTN05,6/1/2022,Comprehensive,May
5478, Maruti Alto  VXI,250000,4.3,chennai,28219,2016,Second ,Petrol,MANUAL,RTOTN05,,Expired,March
5479, Maruti Swift VXI .,194000,3.5,chennai,88882,2006,Fourth ,Petrol,MANUAL,RTOTN23,28/2/2021,Third_party,January
5480, Datsun Redi Go S,299000,4.7,chennai,21292,2017,First ,Petrol,MANUAL,RTOTN47,15/5/2021,Comprehensive,January
5481, Maruti Alto  LXI,240000,4.4,chennai,34050,2015,First ,Petrol,MANUAL,RTOTN10,25/10/2021,Comprehensive,August
5482, Hyundai Accent VIVA,150000,3.6,chennai,52115,2005,Second ,Petrol,MANUAL,RTOTN07,10/3/2021,Third_party,March
5483, Hyundai Grand i MAGNA . KAPPA VTVT,350000,4.3,chennai,25180,2016,Second ,Petrol,MANUAL,RTOTN09,26/2/2021,Comprehensive,November
5484, Hyundai NEW SANTRO . SPORTS AMT,470161,4.8,chennai,23309,2018,First ,Petrol,,RTOTN04,27/12/2021,Comprehensive,December
5485, Honda City ZX . VTEC PLUS,210000,3.8,chennai,58686,2008,Third ,Petrol,MANUAL,RTOTN09,5/11/2021,Comprehensive,June
5486, Hyundai i MAGNA O .,322968,4.7,chennai,26280,2013,First ,Petrol,MANUAL,RTOTN04,,Expired,May
5487, Maruti Swift VXI,490000,4.6,chennai,28184,2015,First ,Petrol,MANUAL,RTOTN09,6/5/2021,Comprehensive,April
5488, Maruti Baleno ALPHA . K ,642248,4.5,chennai,24540,2017,First ,Petrol,MANUAL,RTOTN66,22/1/2021,ZeroDepreciation,December
5489, Chevrolet Spark LT .,90000,3.8,chennai,8664,2007,First ,Petrol,MANUAL,RTOTN22,,Expired,May
5490, Maruti SX VXI,230000,3.8,chennai,38331,2007,Third ,Petrol,MANUAL,RTOTN02,14/3/2021,Comprehensive,January
5491, Hyundai Elite i ASTA . (O),590000,4.1,chennai,17808,2016,Second ,Petrol,MANUAL,RTOTN09,24/7/2021,Comprehensive,June
5492, Renault Kwid  RXL. EASY-R AT,420000,4.8,chennai,6438,2017,Second ,Petrol,,RTOTN10,11/11/2021,Comprehensive,March
5493, Hyundai Verna FLUIDIC . EX VTVT,400000,4,chennai,34432,2011,Second ,Petrol,MANUAL,RTOTN01,,Expired,July
5494, Maruti Wagon R . LXI,275000,4.3,chennai,14048,2013,First ,Petrol,MANUAL,RTOMH12,1/9/2021,Comprehensive,April
5495, Volkswagen Vento HIGHLINE DIESEL,300000,3.9,chennai,61987,2011,Third ,Diesel,MANUAL,RTOTN01,,Expired,June
5496, Ford Figo . LXI DURATEC ,215000,3.6,chennai,23507,2011,Second ,Petrol,MANUAL,RTOTN07,12/10/2021,Comprehensive,June
5497, Honda Amaze . SMT I VTEC,450000,4.6,chennai,23043,2015,First ,Petrol,MANUAL,RTOTN01,,Expired,March
5498, Maruti Alto  LXI,260000,4.3,chennai,33587,2016,Second ,Petrol,MANUAL,RTOTN06,,Expired,March
5499, Hyundai Xcent SX .,550000,4.6,chennai,16581,2018,First ,Petrol,MANUAL,RTOTN03,20/9/2020,ZeroDepreciation,August
5500, Maruti Swift Dzire VXI . BS IV,585000,4.5,chennai,19230,2016,First ,Petrol,MANUAL,RTOTN13,3/4/2021,Comprehensive,March
5501, Maruti Swift LDI BS IV,260000,4,chennai,23516,2010,First ,Diesel,MANUAL,RTOMH02,2/1/2021,ZeroDepreciation,December
5502, Hyundai Grand i . ASTA (O) AT,500000,4.6,chennai,16859,2016,Second ,Petrol,AUTOMATIC,RTOTN14,20/1/2022,Comprehensive,August
5503, Ford Ecosport . TREND TI VCT,960000,5,chennai,1363,2020,First ,Petrol,MANUAL,RTOTN02,24/2/2021,ZeroDepreciation,February
5504, Chevrolet Sail . LS ABS,275000,4.3,chennai,45457,2013,First ,Diesel,MANUAL,RTOTN02,24/4/2021,Comprehensive,April
5505, Maruti Dzire VXI,770000,5,chennai,2261,2020,First ,Petrol,MANUAL,RTOTN02,6/12/2021,ZeroDepreciation,October
5506, Hyundai i SPORTZ . KAPPA,260000,4.1,chennai,42998,2010,Second ,Petrol,MANUAL,RTOTN01,8/4/2021,Comprehensive,January
5507, Hyundai i MAGNA . KAPPA,200000,3.8,chennai,71370,2011,Third ,Petrol,MANUAL,RTOTN09,,Expired,August
5508, Maruti Alto  LXI,270000,4.5,chennai,13778,2018,Second ,Petrol,MANUAL,RTOTN13,9/2/2021,Comprehensive,April
5509, Maruti Alto  LXI,300000,4.6,chennai,11489,2016,First ,Petrol,MANUAL,RTOTN05,28/6/2021,ZeroDepreciation,May
5510, Renault Kwid RXT,235000,3.9,chennai,14370,2016,First ,Petrol,MANUAL,RTOTN13,,Expired,June
5511, Hyundai Eon ERA PLUS,300000,4.6,chennai,28923,2017,First ,Petrol,MANUAL,RTOTN09,18/9/2021,Comprehensive,January
5512, Hyundai Eon MAGNA PLUS,247000,4.6,chennai,13430,2013,First ,Petrol,MANUAL,RTOKA05,4/9/2021,Comprehensive,August
5513, Renault Kwid RXT,286000,4.3,chennai,35797,2016,First ,Petrol,MANUAL,RTOTN03,23/10/2021,ZeroDepreciation,August
5514, Maruti Zen Estilo VXI,210000,3.8,chennai,22162,2011,First ,Petrol,MANUAL,RTOKL01,13/9/2021,Comprehensive,September
5515, Hyundai Santro LE,70000,3.7,chennai,33952,2000,First ,Petrol,MANUAL,RTOTN05,8/12/2021,Comprehensive,January
5516, Maruti Ertiga VDI ABS,625000,4.4,chennai,16257,2012,First ,Diesel,MANUAL,RTOTN01,9/7/2021,Comprehensive,June
5517, Hyundai Grand i ASTA AT . KAPPA VTVT,407675,4.7,chennai,33621,2014,Second ,Petrol,MANUAL,RTOTN06,18/9/2021,Comprehensive,February
5518, Maruti Swift VXI,636500,4.9,chennai,7567,2019,First ,Petrol,MANUAL,RTOTN04,18/5/2021,Comprehensive,April
5519, Hyundai Eon D LITE PLUS,255000,4.4,chennai,25044,2016,First ,Petrol,MANUAL,RTOTN20,,Expired,June
5520, Renault TRIBER . RXZ ,720000,4.8,chennai,3129,2020,Second ,Petrol,,RTOTN22,17/2/2021,ZeroDepreciation,January
5521, Maruti Alto  LXI,285000,4.2,chennai,30194,2017,First ,Petrol,MANUAL,RTOTN14,,Expired,October
5522, Maruti Alto K VXI ,205000,4.1,chennai,51966,2012,Fourth ,Petrol,MANUAL,RTOTN37,4/3/2021,Comprehensive,February
5523, Maruti Alto LXI,350000,4.9,chennai,1420,2019,First ,Petrol,MANUAL,RTOTN20,,Expired,November
5524, Renault Duster 	RXS  PS MT,1100000,5,chennai,472,2020,First ,Petrol,,RTOTN13,14/7/2023,ZeroDepreciation,March
5525, Maruti S PRESSO VXI,450000,4.8,chennai,7783,2020,First ,Petrol,,RTOTN24,10/8/2021,ZeroDepreciation,February
5526, Maruti Swift VXI,570000,4.8,chennai,14136,2017,First ,Petrol,MANUAL,RTOTN09,25/7/2021,ZeroDepreciation,January
5527, Hyundai Grand i ASTA . VTVT,475000,4.3,chennai,13033,2014,First ,Petrol,MANUAL,RTOTN04,,Expired,July
5528, Maruti Celerio VXI AMT,320000,4.4,chennai,43523,2014,First ,Petrol,AUTOMATIC,RTOTN09,15/11/2021,Comprehensive,October
5529, Hyundai i ERA . IRDE,210000,4,chennai,32841,2010,Second ,Petrol,MANUAL,RTOTN72,18/4/2021,Comprehensive,April
5530, Hyundai Elite i . SPORTS PLUS VTVT,780000,4.9,chennai,8101,2020,First ,Petrol,,RTOTN11,6/9/2021,ZeroDepreciation,August
5531, Tata ALTROZ XE .,550000,4.9,chennai,6076,2020,First ,Petrol,,RTOTN14,13/10/2021,ZeroDepreciation,September
5532, Maruti Wagon R LXI,220000,4.1,chennai,54126,2010,Second ,Petrol,MANUAL,RTOKL03,25/6/2021,Comprehensive,December
5533, Chevrolet Beat LS DIESEL,180000,3.9,chennai,46878,2013,Fourth ,Diesel,MANUAL,RTOTN20,13/11/2021,Comprehensive,March
5534, Hyundai Xcent S . OPT,450000,4.7,chennai,17040,2015,Second ,Petrol,MANUAL,RTOTN07,,Expired,March
5535, Hyundai Grand i ASTA . VTVT,625000,4.9,chennai,3994,2019,First ,Petrol,MANUAL,RTOTN13,24/3/2021,ZeroDepreciation,February
5536, Tata Indica V DLS BS III,70000,3.4,chennai,77859,2005,First ,Diesel,MANUAL,RTOTN07,22/11/2021,Third_party,July
5537, Hyundai Santro Xing XO ERLX EURO III,104000,3.9,chennai,41342,2006,Third ,Petrol,MANUAL,RTOTN02,5/4/2021,Third_party,January
5538, Chevrolet Enjoy . LS  STR,341000,4.1,chennai,42888,2015,First ,Diesel,MANUAL,RTOTN12,25/9/2021,Comprehensive,July
5539, Mahindra Scorpio . GLX,200000,3.3,chennai,9279,2005,Second ,Diesel,MANUAL,RTOTN22,5/3/2021,Comprehensive,February
5540, Hyundai Santro Xing XO ERLX EURO III,72000,3.7,chennai,99382,2005,Third ,Petrol + LPG,MANUAL,RTOTN20,9/9/2021,Comprehensive,January
5541, Fiat Punto EVO DYNAMIC .,390000,3.9,chennai,35582,2015,Second ,Petrol,MANUAL,RTOTN07,16/1/2021,Comprehensive,January
5542, Maruti Alto LXI,190000,3.8,chennai,53194,2009,Second ,Petrol,MANUAL,RTOTN09,7/11/2021,Comprehensive,September
5543, Honda City S MT PETROL,425000,4.6,chennai,42456,2011,First ,Petrol,MANUAL,RTOTN07,8/11/2021,Comprehensive,October
5544, Maruti Alto LXI,200000,3.9,chennai,54292,2012,First ,Petrol,MANUAL,RTOTN20,,Expired,May
5545, MG HECTOR SHARP DCT PETROL ,1978600,5,chennai,2946,2020,First ,Petrol,,RTOTN09,4/8/2021,ZeroDepreciation,March
5546, Maruti Swift VDI,420000,4.3,chennai,50954,2013,First ,Diesel,MANUAL,RTOTN03,12/7/2021,Comprehensive,March
5547, Renault Kwid RXT,300000,4.3,chennai,20156,2016,First ,Petrol,MANUAL,RTOTN13,26/7/2021,ZeroDepreciation,May
5548, Renault Kwid RXT . EASY-R AT OPTION,380000,4.5,chennai,10608,2017,First ,Petrol,AUTOMATIC,RTOTN06,30/7/2021,Comprehensive,January
5549, Maruti Alto K VXI ,245000,4.1,chennai,47193,2014,First ,Petrol,MANUAL,RTOTN19,12/5/2021,ZeroDepreciation,December
